Date,adj_close,Volume,log_ret,ret,entropy,entropy_norm,vol_rolling,low_entropy,signal,strategy_ret,bench_ret,strategy_ret_net
2008-08-04,4395.35009765625,0,-0.004132123903968879,-0.004123598426808428,1.584962500721156,1.0,0.3270184854885034,0,0,-0.0,-0.004123598426808428,-0.0
2008-08-05,4502.85009765625,0,0.02416336519195173,0.0244576649439876,1.584962500721156,1.0,0.32938866118175625,0,0,0.0,0.0244576649439876,0.0
2008-08-06,4517.5498046875,0,0.0032592169311085736,0.003264533953484472,1.584962500721156,1.0,0.329453352415067,0,0,0.0,0.003264533953484472,0.0
2008-08-07,4523.85009765625,0,0.0013936545350367135,0.0013946261228183765,1.584962500721156,1.0,0.327045632620453,0,0,0.0,0.0013946261228183765,0.0
2008-08-08,4529.5,0,0.001248135334716441,0.0012489145797907053,1.584962500721156,1.0,0.3192771771639297,0,0,0.0,0.0012489145797907053,0.0
2008-08-11,4620.39990234375,0,0.01986970216929604,0.020068418665139642,1.584962500721156,1.0,0.32108226527614925,0,0,0.0,0.020068418665139642,0.0
2008-08-12,4552.25,0,-0.01485964406668586,-0.014749784387533271,1.584962500721156,1.0,0.3219521394838915,0,0,-0.0,-0.014749784387533271,-0.0
2008-08-13,4529.0498046875,0,-0.005109454876393555,-0.005096423815146411,1.584962500721156,1.0,0.32196733148065115,0,0,-0.0,-0.005096423815146411,-0.0
2008-08-14,4430.7001953125,0,-0.021954532153550886,-0.0217152854608067,1.584962500721156,1.0,0.3210288286342917,0,0,-0.0,-0.0217152854608067,-0.0
2008-08-18,4393.0498046875,0,-0.008533926986748298,-0.008497616395898855,1.584962500721156,1.0,0.3185349710734525,0,0,-0.0,-0.008497616395898855,-0.0
2008-08-19,4368.25,0,-0.0056612309761121336,-0.005645236405250387,1.584962500721156,1.0,0.31819069536235467,0,0,-0.0,-0.005645236405250387,-0.0
2008-08-20,4415.75,0,0.010815223816405003,0.010873919761918316,1.584962500721156,1.0,0.31845385100760126,0,0,0.0,0.010873919761918316,0.0
2008-08-21,4283.85009765625,0,-0.03032553429014587,-0.029870328334654417,1.584962500721156,1.0,0.32224803009110564,0,0,-0.0,-0.029870328334654417,-0.0
2008-08-22,4327.4501953125,0,0.010126338356580568,0.010177783223578318,1.584962500721156,1.0,0.3223154466568428,0,0,0.0,0.010177783223578318,0.0
2008-08-25,4335.35009765625,0,0.0018238685567018873,0.0018255328166012497,1.584962500721156,1.0,0.32016425669624926,0,0,0.0,0.0018255328166012497,0.0
2008-08-26,4337.5,0,0.0004957775964252001,0.0004959005144502537,1.584962500721156,1.0,0.3201419920832347,0,0,0.0,0.0004959005144502537,0.0
2008-08-27,4292.10009765625,0,-0.010521998862159846,-0.010466836275216163,1.584962500721156,1.0,0.31938479076934184,0,0,-0.0,-0.010466836275216163,-0.0
2008-08-28,4214.0,0,-0.018363831028820478,-0.0181962433026428,1.584962500721156,1.0,0.3192412945145318,0,0,-0.0,-0.0181962433026428,-0.0
2008-08-29,4360.0,0,0.034059741978945554,0.034646416706217265,1.584962500721156,1.0,0.32481738270089894,0,0,0.0,0.034646416706217265,0.0
2008-09-01,4348.64990234375,0,-0.002606627711540453,-0.0026032334073967656,1.584962500721156,1.0,0.32476371621641137,0,0,-0.0,-0.0026032334073967656,-0.0
2008-09-02,4504.0,0,0.03510046118798673,0.03572375361201696,1.584962500721156,1.0,0.33047067301147515,0,0,0.0,0.03572375361201696,0.0
2008-09-04,4447.75,0,-0.012567540504641407,-0.012488898756660705,1.584962500721156,1.0,0.32864311180835903,0,0,-0.0,-0.012488898756660705,-0.0
2008-09-05,4352.2998046875,0,-0.021693954207102673,-0.021460332822775596,1.584962500721156,1.0,0.33033978883509507,0,0,-0.0,-0.021460332822775596,-0.0
2008-09-08,4482.2998046875,0,0.02943186784319624,0.029869265867206174,1.584962500721156,1.0,0.33235836405420527,0,0,0.0,0.029869265867206174,0.0
2008-09-09,4468.7001953125,0,-0.0030386816756627945,-0.0030340695552710795,1.584962500721156,1.0,0.33229568327978976,0,0,-0.0,-0.0030340695552710795,-0.0
2008-09-10,4400.25,0,-0.015436224801236593,-0.0153176969411154,1.584962500721156,1.0,0.3322865612929174,0,0,-0.0,-0.0153176969411154,-0.0
2008-09-11,4290.2998046875,0,-0.025304742451286402,-0.024987261022101026,1.584962500721156,1.0,0.33448813401379945,0,0,-0.0,-0.024987261022101026,-0.0
2008-09-12,4228.4501953125,0,-0.014521073204396558,-0.01441615089636028,1.584962500721156,1.0,0.3349246737555281,0,0,-0.0,-0.01441615089636028,-0.0
2008-09-15,4072.89990234375,0,-0.037480289375793695,-0.03678659692886699,1.584962500721156,1.0,0.3400918640306079,0,0,-0.0,-0.03678659692886699,-0.0
2008-09-16,4074.89990234375,0,0.000490930088640157,0.0004910506145385796,1.584962500721156,1.0,0.33986185314303463,0,0,0.0,0.0004910506145385796,0.0
2008-09-17,4008.25,0,-0.016491445462295706,-0.01635620602739596,1.584962500721156,1.0,0.33944384040448317,0,0,-0.0,-0.01635620602739596,-0.0
2008-09-18,4038.14990234375,0,0.007431905033011946,0.007459590181188691,1.584962500721156,1.0,0.3395519226097094,0,0,0.0,0.007459590181188691,0.0
2008-09-19,4245.25,0,0.050014068724451716,0.051285886523442015,1.584962500721156,1.0,0.35035439996734524,0,0,0.0,0.051285886523442015,0.0
2008-09-22,4223.0498046875,0,-0.005243141287491266,-0.005229420013544539,1.584962500721156,1.0,0.3497561910105841,0,0,-0.0,-0.005229420013544539,-0.0
2008-09-23,4126.89990234375,0,-0.02303107341928404,-0.022767882641835158,1.584962500721156,1.0,0.3494572520902751,0,0,-0.0,-0.022767882641835158,-0.0
2008-09-24,4161.25,0,0.008289013769599644,0.008323462761173905,1.584962500721156,1.0,0.3494593691758064,0,0,0.0,0.008323462761173905,0.0
2008-09-25,4110.5498046875,0,-0.012258717915639393,-0.012183885926704718,1.584962500721156,1.0,0.34960159133403945,0,0,-0.0,-0.012183885926704718,-0.0
2008-09-26,3985.25,0,-0.030956746459839278,-0.030482492766445324,1.584962500721156,1.0,0.3527409493003855,0,0,-0.0,-0.030482492766445324,-0.0
2008-09-29,3850.050048828125,0,-0.034513897620804514,-0.03392508654962045,1.584962500721156,1.0,0.35580577861520435,0,0,-0.0,-0.03392508654962045,-0.0
2008-09-30,3921.199951171875,0,0.018311569042277057,0.01848025387758434,1.584962500721156,1.0,0.35689455364203976,0,0,0.0,0.01848025387758434,0.0
2008-10-01,3950.75,0,0.00750771735398448,0.007535970926270563,1.584962500721156,1.0,0.3567075731667882,0,0,0.0,0.007535970926270563,0.0
2008-10-03,3818.300048828125,0,-0.034100124132218405,-0.033525267650920676,1.584962500721156,1.0,0.36064550905429016,0,0,-0.0,-0.033525267650920676,-0.0
2008-10-06,3602.35009765625,0,-0.05821887279271458,-0.05655656926127428,1.584962500721156,1.0,0.3715317584986437,0,0,-0.0,-0.05655656926127428,-0.0
2008-10-07,3606.60009765625,0,0.0011790899859858098,0.0011797853858694918,1.584962500721156,1.0,0.3708974772121964,0,0,0.0,0.0011797853858694918,0.0
2008-10-08,3513.64990234375,0,-0.026110171950808763,-0.025772248875860604,1.584962500721156,1.0,0.37242562728624423,0,0,-0.0,-0.025772248875860604,-0.0
2008-10-10,3279.949951171875,0,-0.06882719192674666,-0.06651201959990027,1.584962500721156,1.0,0.38615357042621573,0,0,-0.0,-0.06651201959990027,-0.0
